Word as published	Occurrences	Cyrillic codepoints	Correct Latin form	Search-replace pair
аs	42	а = U+0430	as	as  <-  аs
аnd	42	а = U+0430	and	and  <-  аnd
аirline	41	а = U+0430	airline	airline  <-  аirline
regulatiоn	39	о = U+043E	regulation	regulation  <-  regulatiоn
prоtected.	38	о = U+043E	protected.	protected.  <-  prоtected.
mаy	34	а = U+0430	may	may  <-  mаy
Clаim	32	а = U+0430	Claim	Claim  <-  Clаim
Shоuld	30	о = U+043E	Should	Should  <-  Shоuld
аn	28	а = U+0430	an	an  <-  аn
thrоugh	27	о = U+043E	through	through  <-  thrоugh
thаt	26	а = U+0430	that	that  <-  thаt
frоm	26	о = U+043E	from	from  <-  frоm
Tо	26	о = U+043E	To	To  <-  Tо
nоt	23	о = U+043E	not	not  <-  nоt
thаn	22	а = U+0430	than	than  <-  thаn
Nо	22	о = U+043E	No	No  <-  Nо
аny	21	а = U+0430	any	any  <-  аny
саnсelleԁ	21	а = U+0430 с = U+0441 ԁ = U+0501	cancelled	cancelled  <-  саnсelleԁ
Cоmpensatiоn	21	о = U+043E	Compensation	Compensation  <-  Cоmpensatiоn
раssengers	20	а = U+0430 р = U+0440	passengers	passengers  <-  раssengers
withоut	20	о = U+043E	without	without  <-  withоut
аll	19	а = U+0430	all	all  <-  аll
ԁelаy	19	а = U+0430 ԁ = U+0501	delay	delay  <-  ԁelаy
ԁelаys	19	а = U+0430 ԁ = U+0501	delays	delays  <-  ԁelаys
prоcess	19	о = U+043E	process	process  <-  prоcess
оur	19	о = U+043E	our	our  <-  оur
rebооking	19	о = U+043E	rebooking	rebooking  <-  rebооking
аlso	18	а = U+0430	also	also  <-  аlso
cаn	18	а = U+0430	can	can  <-  cаn
Dо	18	о = U+043E	Do	Do  <-  Dо
wаs	17	а = U+0430	was	was  <-  wаs
mаke	17	а = U+0430	make	make  <-  mаke
hаve	17	а = U+0430	have	have  <-  hаve
nо	17	о = U+043E	no	no  <-  nо
prоvide	16	о = U+043E	provide	provide  <-  prоvide
Hоw	16	о = U+043E	How	How  <-  Hоw
Hоwever,	16	о = U+043E	However,	However,  <-  Hоwever,
Skyсoр	15	р = U+0440 с = U+0441	Skycop	Skycop  <-  Skyсoр
prоviding	15	о = U+043E	providing	providing  <-  prоviding
аirрort	14	а = U+0430 р = U+0440	airport	airport  <-  аirрort
trаvel	14	а = U+0430	travel	travel  <-  trаvel
Prоtectiоns:	14	о = U+043E	Protections:	Protections:  <-  Prоtectiоns:
bоarding	14	о = U+043E	boarding	boarding  <-  bоarding
Logаnаir	14	а = U+0430	Loganair	Loganair  <-  Logаnаir
Heаthrow	14	а = U+0430	Heathrow	Heathrow  <-  Heаthrow
Сompensation	13	С = U+0421	Compensation	Compensation  <-  Сompensation
alsо	13	о = U+043E	also	also  <-  alsо
оther	13	о = U+043E	other	other  <-  оther
additiоnal	13	о = U+043E	additional	additional  <-  additiоnal
аirlines	12	а = U+0430	airlines	airlines  <-  аirlines
lаte	12	а = U+0430	late	late  <-  lаte
thе	12	е = U+0435	the	the  <-  thе
custоmer	12	о = U+043E	customer	customer  <-  custоmer
yоu’re	12	о = U+043E	you’re	you’re  <-  yоu’re
nоtice	12	о = U+043E	notice	notice  <-  nоtice
Skycоp?	12	о = U+043E	Skycop?	Skycop?  <-  Skycоp?
sсheԁuleԁ	11	с = U+0441 ԁ = U+0501	scheduled	scheduled  <-  sсheԁuleԁ
uр	11	р = U+0440	up	up  <-  uр
cоmpensatiоn.	11	о = U+043E	compensation.	compensation.  <-  cоmpensatiоn.
disruptiоn	11	о = U+043E	disruption	disruption  <-  disruptiоn
аirрort.	10	а = U+0430 р = U+0440	airport.	airport.  <-  аirрort.
Disruptiоns	10	о = U+043E	Disruptions	Disruptions  <-  Disruptiоns
clаim	10	а = U+0430	claim	claim  <-  clаim
Respоnse	10	о = U+043E	Response	Response  <-  Respоnse
Fоr	10	о = U+043E	For	For  <-  Fоr
сlаim,	9	а = U+0430 с = U+0441	claim,	claim,  <-  сlаim,
helр	9	р = U+0440	help	help  <-  helр
сomрensаtion.	9	а = U+0430 р = U+0440 с = U+0441	compensation.	compensation.  <-  сomрensаtion.
Cаnсelleԁ	9	а = U+0430 с = U+0441 ԁ = U+0501	Cancelled	Cancelled  <-  Cаnсelleԁ
аble	9	а = U+0430	able	able  <-  аble
аmount	9	а = U+0430	amount	amount  <-  аmount
yeаrs	9	а = U+0430	years	years  <-  yeаrs
Prоcess	9	о = U+043E	Process	Process  <-  Prоcess
Resоlutiоn	9	о = U+043E	Resolution	Resolution  <-  Resоlutiоn
disruptiоns	9	о = U+043E	disruptions	disruptions  <-  disruptiоns
Whеn	9	е = U+0435	When	When  <-  Whеn
prоcedure	9	о = U+043E	procedure	procedure  <-  prоcedure
infоrmatiоn	9	о = U+043E	information	information  <-  infоrmatiоn
factоrs	9	о = U+043E	factors	factors  <-  factоrs
Dоlоmiti	9	о = U+043E	Dolomiti	Dolomiti  <-  Dоlоmiti
аrrivаl	8	а = U+0430	arrival	arrival  <-  аrrivаl
ԁestinаtion	8	а = U+0430 ԁ = U+0501	destination	destination  <-  ԁestinаtion
саnсellаtion	8	а = U+0430 с = U+0441	cancellation	cancellation  <-  саnсellаtion
сirсumstаnсes	8	а = U+0430 с = U+0441	circumstances	circumstances  <-  сirсumstаnсes
tаke	8	а = U+0430	take	take  <-  tаke
Tаke	8	а = U+0430	Take	Take  <-  Tаke
extrа	8	а = U+0430	extra	extra  <-  extrа
аlternаtive	8	а = U+0430	alternative	alternative  <-  аlternаtive
Аre	8	А = U+0410	Are	Are  <-  Аre
Extraоrdinary	8	о = U+043E	Extraordinary	Extraordinary  <-  Extraоrdinary
regulatоry	8	о = U+043E	regulatory	regulatory  <-  regulatоry
recоmpense	8	о = U+043E	recompense	recompense  <-  recоmpense


example Like this 
а → a
о → o
с → c
р → p
е → e
А → A
С → C
ԁ → d
